image_name,crack_1,crack_2,crack_3,Latitude,Longitude,Date,Crack or not
00041.JPG,none,none,none,-37.8939775692777,144.6801022951380,2017/1/31,
00042.JPG,none,none,none,-37.8979724813888,144.6714738240000,2017/1/31,
00043.JPG,none,none,none,-37.8944299882499,144.6791167406660,2017/1/31,
00044.JPG,none,none,none,-37.8854303501111,144.6985116927500,2017/1/31,
00045.JPG,none,none,none,-37.8849500641944,144.6994742305270,2017/1/31,
00046.JPG,long,long,long,-37.8921175787499,144.6841148499720,2017/1/31,
00047.JPG,none,none,none,-37.8916627581944,144.6850941124440,2017/1/31,
00048.JPG,none,none,none,-37.8866188400833,144.6959657276940,2017/1/31,
00049.JPG,none,none,none,-37.8876184100555,144.6938104436110,2017/1/31,
00050.JPG,none,none,none,-37.8861634758611,144.6969462868050,2017/1/31,
00051.JPG,none,none,none,-37.8880710655277,144.6928285383610,2017/1/31,
00052.JPG,none,none,none,-37.8972476564166,144.6730417164720,2017/1/31,
00053.JPG,none,none,none,-37.8967822299722,144.6740139714720,2017/1/31,
00054.JPG,none,none,none,-37.9000682864166,144.6669705882500,2017/1/31,
00055.JPG,none,croc,croc,-37.8996068494166,144.6679434867770,2017/1/31,
00056.JPG,none,none,none,-37.8837436951944,144.7019992653880,2017/1/31,
00057.JPG,none,none,none,-37.8833007642500,144.7029851056940,2017/1/31,
00058.JPG,none,none,none,-37.9006965815277,144.6655955791940,2017/1/31,
00059.JPG,none,none,none,-37.9011012791388,144.6645805258330,2017/1/31,
00060.JPG,none,none,none,-37.9013483424722,144.6639806755000,2017/1/31,
00061.JPG,none,lat,none,-37.9017579195277,144.6629667129720,2017/1/31,
00062.JPG,none,none,none,-37.8976556928611,144.6721600864440,2017/1/31,
00063.JPG,none,none,croc,-37.8948402974166,144.6782321115550,2017/1/31,
00064.JPG,none,none,none,-37.8981090842777,144.6711801962500,2017/1/31,
00065.JPG,none,none,none,-37.8943849159722,144.6792153778880,2017/1/31,
00066.JPG,long,long,long,-37.8891169481666,144.6905742615000,2017/1/31,
00067.JPG,none,none,none,-37.8886634125277,144.6915542366110,2017/1/31,
00068.JPG,long,none,long,-37.8826780207500,144.7043640294160,2017/1/31,
00069.JPG,none,none,none,-37.8822559985000,144.7053654250000,2017/1/31,
00070.JPG,long,none,none,-37.8912512702500,144.6859746301110,2017/1/31,
00071.JPG,none,none,none,-37.8917082989166,144.6849962847500,2017/1/31,
00072.JPG,none,none,none,-37.8964949152777,144.6745903115830,2017/1/31,
00073.JPG,none,none,none,-37.8960407585555,144.6755679550270,2017/1/31,
00074.JPG,none,none,none,-37.8901153673055,144.6884230544440,2017/1/31,
00075.JPG,none,none,none,-37.8896620945555,144.6894007475000,2017/1/31,
00076.JPG,long,none,none,-37.8938377619722,144.6803922619720,2017/1/31,
00077.JPG,long,none,none,-37.8933849967500,144.6813701026110,2017/1/31,
00078.JPG,none,none,none,-37.8881168334166,144.6927306898880,2017/1/31,
00079.JPG,none,none,none,-37.8862088565555,144.6968481121940,2017/1/31,
00080.JPG,none,none,none,-37.8876639756944,144.6937124398050,2017/1/31,
00081.JPG,none,none,none,-37.8866645294166,144.6958680580830,2017/1/31,
00082.JPG,none,none,none,-37.8968304457222,144.6739181776940,2017/1/31,
00083.JPG,none,none,none,-37.8972934051666,144.6729438857770,2017/1/31,
00084.JPG,none,none,none,-37.9011421993055,144.6644800243330,2017/1/31,
00085.JPG,none,none,none,-37.9007372853333,144.6654945106380,2017/1/31,
00086.JPG,croc,croc,croc,-37.8996525335000,144.6678457643050,2017/1/31,
00087.JPG,none,none,none,-37.9001153406666,144.6668737736110,2017/1/31,
00088.JPG,none,none,none,-37.8833461740277,144.7028872559160,2017/1/31,
00089.JPG,none,none,none,-37.8837882710555,144.7019007527770,2017/1/31,
00090.JPG,none,none,none,-37.8822974005833,144.7052647858050,2017/1/31,
00091.JPG,none,croc,none,-37.8827215480277,144.7042647948610,2017/1/31,
00092.JPG,none,none,none,-37.8917537234444,144.6848984047500,2017/1/31,
00093.JPG,none,none,none,-37.8912967897222,144.6858766377770,2017/1/31,
00094.JPG,diag,none,none,-37.8943399780833,144.6793141796110,2017/1/31,
00095.JPG,none,none,none,-37.8980634132222,144.6712779657220,2017/1/31,
00096.JPG,none,none,none,-37.8947946035833,144.6783302685830,2017/1/31,
00097.JPG,none,none,none,-37.8976102553333,144.6722580295830,2017/1/31,
00098.JPG,none,none,none,-37.9018058416944,144.6628697673050,2017/1/31,
00099.JPG,none,none,none,-37.9013892990555,144.6638800108330,2017/1/31,
00100.JPG,none,none,none,-37.8886180406388,144.6916523248330,2017/1/31,
00101.JPG,none,none,none,-37.8890717828055,144.6906723268330,2017/1/31,
00102.JPG,none,none,none,-37.8896167804166,144.6894985441110,2017/1/31,
00103.JPG,none,long,long,-37.8900701773333,144.6885208716660,2017/1/31,
00104.JPG,none,none,none,-37.8933397039722,144.6814680237770,2017/1/31,
00105.JPG,none,none,long,-37.8937916239166,144.6804891740830,2017/1/31,
00106.JPG,none,none,none,-37.8960861476111,144.6754703333610,2017/1/31,
00107.JPG,none,none,none,-37.8965412188055,144.6744929867770,2017/1/31,
00108.JPG,none,none,none,-37.9003512971388,144.6663899345000,2017/1/31,
00109.JPG,none,none,none,-37.9007776565000,144.6653926303880,2017/1/31,
00110.JPG,none,none,none,-37.8923432903333,144.6836233895830,2017/1/31,
00111.JPG,none,none,lat,-37.8927963437222,144.6826430564160,2017/1/31,
00112.JPG,none,none,none,-37.8906150693055,144.6873457044440,2017/1/31,
00113.JPG,none,none,none,-37.8910689389444,144.6863658853880,2017/1/31,
00114.JPG,none,none,none,-37.8879801506944,144.6930248668610,2017/1/31,
00115.JPG,none,none,none,-37.8862542561666,144.6967498694440,2017/1/31,
00116.JPG,none,none,none,-37.8884368192222,144.6920449737220,2017/1/31,
00117.JPG,none,none,none,-37.8858004313611,144.6977319190270,2017/1/31,
00118.JPG,none,none,none,-37.8949765679166,144.6779370094440,2017/1/31,
00119.JPG,none,none,none,-37.8954220768333,144.6769518781660,2017/1/31,
00120.JPG,none,none,none,-37.8841583852222,144.7011239408330,2017/1/31,
00121.JPG,none,none,none,-37.8846241333611,144.7001549657500,2017/1/31,
00122.JPG,none,none,none,-37.8988352825555,144.6696115019990,2017/1/31,
00123.JPG,none,none,none,-37.8992902223055,144.6686309155270,2017/1/31,
00124.JPG,none,none,none,-37.8868920410277,144.6953787648610,2017/1/31,
00125.JPG,none,none,none,-37.8873459122500,144.6943984067500,2017/1/31,
00126.JPG,none,none,none,-37.8916170112222,144.6851917793050,2017/1/31,
00127.JPG,long,long,long,-37.8920721827777,144.6842129641660,2017/1/31,
00128.JPG,croc,none,none,-37.8944752479444,144.6790182372490,2017/1/31,
00129.JPG,none,none,none,-37.8980178398888,144.6713758025270,2017/1/31,
00130.JPG,none,none,none,-37.8940232693611,144.6800046350000,2017/1/31,
00131.JPG,none,none,none,-37.8984728348888,144.6703960685830,2017/1/31,
00132.JPG,none,none,none,-37.8849967143055,144.6993768973050,2017/1/31,
00133.JPG,none,none,none,-37.8854782619166,144.6984154455000,2017/1/31,
00134.JPG,lat,none,none,-37.9006562264722,144.6656969711110,2017/1/31,
00135.JPG,none,none,none,-37.9010605884722,144.6646814803050,2017/1/31,
00136.JPG,none,none,none,-37.8903883152500,144.6878362353330,2017/1/31,
00137.JPG,none,none,none,-37.8838803310000,144.7017059935830,2017/1/31,
00138.JPG,none,none,none,-37.8908411417777,144.6868549999160,2017/1/31,
00139.JPG,none,none,none,-37.8834361551944,144.7026910074440,2017/1/31,
00140.JPG,none,none,none,-37.9000214569166,144.6670673586380,2017/1/31,
00141.JPG,none,none,none,-37.8995616226666,144.6680416215550,2017/1/31,
00142.JPG,none,none,none,-37.9020620591666,144.6624062580270,2017/1/31,
00143.JPG,none,none,none,-37.8973843179166,144.6727482968880,2017/1/31,
00144.JPG,none,none,none,-37.8969263967222,144.6737259115270,2017/1/31,
00145.JPG,none,none,none,-37.8865730626111,144.6960634604440,2017/1/31,
00146.JPG,none,none,none,-37.8861181488888,144.6970445352220,2017/1/31,
00147.JPG,none,none,none,-37.8938844690000,144.6802958940270,2017/1/31,
00148.JPG,none,none,none,-37.8985183928055,144.6702981770270,2017/1/31,
00149.JPG,none,none,long,-37.8934301946944,144.6812722005270,2017/1/31,
00150.JPG,none,croc,croc,-37.8989714217222,144.6693167295000,2017/1/31,
00151.JPG,none,none,none,-37.8899796347777,144.6887164301660,2017/1/31,
00152.JPG,long,none,none,-37.8895261875833,144.6896943001940,2017/1/31,
00153.JPG,none,none,none,-37.8966355741666,144.6742997101110,2017/1/31,
00154.JPG,none,none,none,-37.8961766323611,144.6752744232500,2017/1/31,
00155.JPG,none,none,none,-37.8828097610833,144.7040672328880,2017/1/31,
00156.JPG,none,none,none,-37.8823805035277,144.7050636713050,2017/1/31,
00157.JPG,none,none,none,-37.8891623407777,144.6904763606110,2017/1/31,
00158.JPG,none,none,none,-37.8887089246388,144.6914563319160,2017/1/31,
00159.JPG,none,none,none,-37.9013070338611,144.6640808581380,2017/1/31,
00160.JPG,none,none,none,-37.9017141221944,144.6630666728330,2017/1/31,
00161.JPG,none,croc,croc,-37.8947031790277,144.6785266645270,2017/1/31,
00162.JPG,none,none,none,-37.8942496322222,144.6795113710000,2017/1/31,
00163.JPG,none,none,none,-37.8955070354444,144.6767518481110,2017/1/31,
00164.JPG,none,none,none,-37.8950671433333,144.6777405227220,2017/1/31,
00165.JPG,none,none,none,-37.8883457665000,144.6922410535270,2017/1/31,
00166.JPG,none,none,none,-37.8878901301111,144.6932217448330,2017/1/31,
00167.JPG,none,none,none,-37.8911603753611,144.6861705759160,2017/1/31,
00168.JPG,none,none,none,-37.8830305994444,144.7035736242500,2017/1/31,
00169.JPG,none,none,none,-37.8907058490555,144.6871497249160,2017/1/31,
00170.JPG,none,none,none,-37.8834805242222,144.7025924437770,2017/1/31,
00171.JPG,none,none,none,-37.8927055199444,144.6828388118880,2017/1/31,
00172.JPG,none,none,none,-37.8922535447222,144.6838202231660,2017/1/31,
00173.JPG,none,none,none,-37.8919807695833,144.6844086035000,2017/1/31,
00174.JPG,none,none,none,-37.8915251886944,144.6853870595270,2017/1/31,
00175.JPG,none,none,none,-37.8855726349166,144.6982215666380,2017/1/31,
00176.JPG,none,none,none,-37.8850914354166,144.6991833254160,2017/1/31,
00177.JPG,none,none,none,-37.8983819072222,144.6705921562220,2017/1/31,
00178.JPG,none,none,none,-37.8979273781666,144.6715720418610,2017/1/31,
00179.JPG,none,none,none,-37.8931135505277,144.6819574598880,2017/1/31,
00180.JPG,none,none,none,-37.8993813932499,144.6684349030270,2017/1/31,
00181.JPG,long,none,none,-37.8935657858611,144.6809783786110,2017/1/31,
00182.JPG,none,none,none,-37.8989259520833,144.6694148736380,2017/1/31,
00183.JPG,none,none,none,-37.8845301164444,144.7003490061110,2017/1/31,
00184.JPG,none,none,none,-37.8840658228333,144.7013181061110,2017/1/31,
00185.JPG,none,none,none,-37.8872549381944,144.6945942570830,2017/1/31,
00186.JPG,none,none,none,-37.8868013325833,144.6955748518880,2017/1/31,
00187.JPG,none,none,none,-37.8957684268611,144.6761551365550,2017/1/31,
00188.JPG,none,none,none,-37.8962220833055,144.6751767033880,2017/1/31,
00189.JPG,none,none,none,-37.8951123630555,144.6776424948050,2017/1/31,
00190.JPG,none,none,none,-37.8955497488055,144.6766518165550,2017/1/31,
00191.JPG,none,none,none,-37.8879350967500,144.6931233123050,2017/1/31,
00192.JPG,none,none,none,-37.8883913482222,144.6921430228610,2017/1/31,
00193.JPG,none,none,none,-37.8835247016111,144.7024937881110,2017/1/31,
00194.JPG,none,none,none,-37.8907509863888,144.6870515177500,2017/1/31,
00195.JPG,none,none,none,-37.8830753157500,144.7034752808880,2017/1/31,
00196.JPG,none,none,long,-37.8912058134722,144.6860726088610,2017/1/31,
00197.JPG,long,none,none,-37.8922984274166,144.6837218008880,2017/1/31,
00198.JPG,none,none,none,-37.8927508476944,144.6827408734160,2017/1/31,
00199.JPG,none,none,none,-37.8850437795555,144.6992798956110,2017/1/31,
00200.JPG,none,none,none,-37.8855257128888,144.6983187544160,2017/1/31,
00201.JPG,none,none,none,-37.8978823193333,144.6716701971380,2017/1/31,
00202.JPG,none,none,none,-37.8983364659722,144.6706902610270,2017/1/31,
00203.JPG,none,none,none,-37.8915711027222,144.6852892838050,2017/1/31,
00204.JPG,none,lat,none,-37.8920265399166,144.6843108896660,2017/1/31,
00205.JPG,none,long,long,-37.8868466183888,144.6954767721660,2017/1/31,
00206.JPG,none,none,none,-37.8873004816111,144.6944963486110,2017/1/31,
00207.JPG,none,none,none,-37.8962676161111,144.6750791030000,2017/1/31,
00208.JPG,none,none,none,-37.8958131019444,144.6760567633880,2017/1/31,
00209.JPG,none,none,none,-37.8988805449444,144.6695131874440,2017/1/31,
00210.JPG,long,none,none,-37.8935206453888,144.6810763725550,2017/1/31,
00211.JPG,none,none,none,-37.8993358716666,144.6685329424160,2017/1/31,
00212.JPG,none,none,none,-37.8930680941388,144.6820552416380,2017/1/31,
00213.JPG,none,none,none,-37.8840196409722,144.7014151437220,2017/1/31,
00214.JPG,none,none,none,-37.8844833225555,144.7004455495000,2017/1/31,
00215.JPG,none,none,none,-37.8833914004444,144.7027893114160,2017/1/31,
00216.JPG,none,none,none,-37.8907960150555,144.6869532673050,2017/1/31,
00217.JPG,none,none,none,-37.8838338916944,144.7018030466110,2017/1/31,
00218.JPG,none,none,none,-37.8903429455277,144.6879341874720,2017/1/31,
00219.JPG,none,none,none,-37.8995164422777,144.6681397876380,2017/1/31,
00220.JPG,none,none,none,-37.8999748184444,144.6671642521940,2017/1/31,
00221.JPG,none,none,none,-37.9010199603333,144.6647826153330,2017/1/31,
00222.JPG,none,long,diag,-37.9006155998333,144.6657980412220,2017/1/31,
00223.JPG,none,none,none,-37.8819650520833,144.7060696037770,2017/1/31,
00224.JPG,none,none,none,-37.8968785427500,144.6738219534720,2017/1/31,
00225.JPG,none,none,none,-37.8973389193888,144.6728460780550,2017/1/31,
00226.JPG,none,none,none,-37.9021151105833,144.6623154113880,2017/1/31,
00227.JPG,none,none,none,-37.8860730285833,144.6971428641110,2017/1/31,
00228.JPG,none,none,none,-37.8865274432500,144.6961612809440,2017/1/31,
00229.JPG,none,none,none,-37.8961314082777,144.6753724256110,2017/1/31,
00230.JPG,none,none,none,-37.8965880468333,144.6743960598050,2017/1/31,
00231.JPG,croc,none,none,-37.8990167820833,144.6692186301110,2017/1/31,
00232.JPG,none,none,none,-37.8934754615277,144.6811742941940,2017/1/31,
00233.JPG,none,none,none,-37.8985640866388,144.6702003880550,2017/1/31,
00234.JPG,none,none,none,-37.8939311975833,144.6801991825270,2017/1/31,
00235.JPG,none,none,none,-37.8895715187222,144.6895964664160,2017/1/31,
00236.JPG,none,none,none,-37.8900249262777,144.6886186474160,2017/1/31,
00237.JPG,none,none,lat,-37.8887542625555,144.6913583428330,2017/1/31,
00238.JPG,none,none,none,-37.8892079855277,144.6903787128610,2017/1/31,
00239.JPG,none,none,none,-37.8942948797500,144.6794128495550,2017/1/31,
00240.JPG,long,none,none,-37.8947489050555,144.6784284283330,2017/1/31,
00241.JPG,croc,diag,none,-37.9016728373611,144.6631677832220,2017/1/31,
00242.JPG,none,none,none,-37.9012656978611,144.6641808190000,2017/1/31,
00243.JPG,none,none,none,-37.8823388661111,144.7051641774160,2017/1/31,
00244.JPG,none,none,none,-37.8827654302500,144.7041658531110,2017/1/31,
00245.JPG,none,none,none,-37.8964490505277,144.6746878748330,2017/1/31,
00246.JPG,none,none,none,-37.8959949422777,144.6756653588330,2017/1/31,
00247.JPG,none,none,none,-37.8901606307499,144.6883252004440,2017/1/31,
00248.JPG,none,none,none,-37.8897073390833,144.6893029390270,2017/1/31,
00249.JPG,none,long,none,-37.8937008553888,144.6806843503610,2017/1/31,
00250.JPG,diag,long,long,-37.8932493061388,144.6816639290000,2017/1/31,
00251.JPG,none,none,none,-37.8945206193333,144.6789198445830,2017/1/31,
00252.JPG,none,none,none,-37.8940683606944,144.6799054351660,2017/1/31,
00253.JPG,none,croc,none,-37.9014700412222,144.6636764676940,2017/1/31,
00254.JPG,none,diag,none,-37.9019072129722,144.6626831649440,2017/1/31,
00255.JPG,none,none,none,-37.8848571407777,144.6996694504160,2017/1/31,
00256.JPG,long,long,none,-37.8893447295555,144.6900857205830,2017/1/31,
00257.JPG,none,none,none,-37.8853335790833,144.6987035863610,2017/1/31,
00258.JPG,none,none,none,-37.8888905152222,144.6910644485830,2017/1/31,
00259.JPG,none,none,none,-37.8829860381111,144.7036720752490,2017/1/31,
00260.JPG,none,none,none,-37.8825495115833,144.7046632078050,2017/1/31,
00261.JPG,none,none,none,-37.9002095459444,144.6666800146380,2017/1/31,
00262.JPG,none,none,none,-37.8997442221666,144.6676506055000,2017/1/31,
00263.JPG,none,none,none,-37.8836998348333,144.7020981945000,2017/1/31,
00264.JPG,none,none,none,-37.8832554130277,144.7030830088880,2017/1/31,
00265.JPG,none,none,none,-37.8820898142222,144.7057677836660,2017/1/31,
00266.JPG,lat,none,lat,-37.9004882959722,144.6660971166660,2017/1/31,
00267.JPG,none,none,none,-37.9008984528888,144.6650869979440,2017/1/31,
00268.JPG,none,none,none,-37.8863908897222,144.6964554080830,2017/1/31,
00269.JPG,none,none,none,-37.8859365366111,144.6974373521380,2017/1/31,
00270.JPG,none,none,none,-37.8975648583888,144.6723560365550,2017/1/31,
00271.JPG,none,lat,none,-37.8949312286944,144.6780354531940,2017/1/31,
00272.JPG,none,none,none,-37.8971103280555,144.6733355016110,2017/1/31,
00273.JPG,none,none,none,-37.8953794004722,144.6770517635000,2017/1/31,
00274.JPG,none,none,none,-37.8982002246944,144.6709844175830,2017/1/31,
00275.JPG,none,none,none,-37.8977465040277,144.6719642375550,2017/1/31,
00276.JPG,none,none,none,-37.8857553707777,144.6978301216380,2017/1/31,
00277.JPG,none,none,none,-37.8885727036666,144.6917504320550,2017/1/31,
00278.JPG,none,none,none,-37.8852850674722,144.6987994607220,2017/1/31,
00279.JPG,none,none,none,-37.8890265600000,144.6907703608880,2017/1/31,
00280.JPG,none,none,none,-37.8821729153888,144.7055666067490,2017/1/31,
00281.JPG,none,none,none,-37.8825922155833,144.7045634018880,2017/1/31,
00282.JPG,none,none,none,-37.8917990284722,144.6848003490270,2017/1/31,
00283.JPG,none,none,none,-37.8913423680555,144.6857787013050,2017/1/31,
00284.JPG,none,none,none,-37.8874368072222,144.6942027210550,2017/1/31,
00285.JPG,none,none,none,-37.8869835286388,144.6951831693050,2017/1/31,
00286.JPG,none,none,none,-37.8847180486944,144.6999612446660,2017/1/31,
00287.JPG,none,none,none,-37.8842516276944,144.7009302278880,2017/1/31,
00288.JPG,none,none,none,-37.8991987467500,144.6688265995000,2017/1/31,
00289.JPG,croc,croc,croc,-37.8987449508888,144.6698078975550,2017/1/31,
00290.JPG,none,none,none,-37.8881626342777,144.6926329111940,2017/1/31,
00291.JPG,none,none,none,-37.8877093888333,144.6936143252220,2017/1/31,
00292.JPG,none,none,none,-37.8966842782500,144.6742041658880,2017/1/31,
00293.JPG,none,none,none,-37.8956803621111,144.6763532387770,2017/1/31,
00294.JPG,none,none,none,-37.8971558863055,144.6732374100550,2017/1/31,
00295.JPG,croc,long,none,-37.8952478618333,144.6773485972500,2017/1/31,
00296.JPG,none,none,none,-37.8928871683888,144.6824472620550,2017/1/31,
00297.JPG,none,none,none,-37.8924330168611,144.6834266141110,2017/1/31,
00298.JPG,none,none,none,-37.8909773768888,144.6865611197500,2017/1/31,
00299.JPG,none,none,none,-37.8905243881388,144.6875419403610,2017/1/31,
00300.JPG,none,none,none,-37.8826349330833,144.7044636143330,2017/1/31,
00301.JPG,none,none,none,-37.8822144747500,144.7054660214440,2017/1/31,
00302.JPG,none,none,none,-37.8913880104444,144.6856808312770,2017/1/31,
00303.JPG,none,none,none,-37.8918444229722,144.6847024137500,2017/1/31,
00304.JPG,none,none,none,-37.8977010405555,144.6720621493050,2017/1/31,
00305.JPG,none,none,none,-37.8981547165277,144.6710823532500,2017/1/31,
00306.JPG,none,none,none,-37.8889812908333,144.6908684656380,2017/1/31,
00307.JPG,none,none,none,-37.8852365958055,144.6988953543050,2017/1/31,
00308.JPG,none,none,none,-37.8885274729166,144.6918487311660,2017/1/31,
00309.JPG,none,none,none,-37.8857103188055,144.6979284200830,2017/1/31,
00310.JPG,none,none,none,-37.8842049862500,144.7010270507490,2017/1/31,
00311.JPG,none,none,none,-37.8846712207500,144.7000581207770,2017/1/31,
00312.JPG,croc,croc,croc,-37.8986997931944,144.6699060667500,2017/1/31,
00313.JPG,none,none,none,-37.8991532075833,144.6689244870550,2017/1/31,
00314.JPG,none,none,none,-37.8870292862777,144.6950854481660,2017/1/31,
00315.JPG,none,none,none,-37.8874820164444,144.6941046198330,2017/1/31,
00316.JPG,none,none,none,-37.8877547243055,144.6935163085550,2017/1/31,
00317.JPG,none,none,none,-37.8882083114166,144.6925349816660,2017/1/31,
00318.JPG,long,long,croc,-37.9022816858055,144.6620506159160,2017/1/31,
00319.JPG,none,none,none,-37.8952922480555,144.6772499583880,2017/1/31,
00320.JPG,none,none,none,-37.8972018274444,144.6731396214720,2017/1/31,
00321.JPG,none,none,none,-37.8957241667500,144.6762540479720,2017/1/31,
00322.JPG,none,none,none,-37.8967332990277,144.6741090993610,2017/1/31,
00323.JPG,none,none,none,-37.8924785171666,144.6833286439160,2017/1/31,
00324.JPG,none,none,none,-37.8929323268055,144.6823490996380,2017/1/31,
00325.JPG,diag,none,none,-37.8905697254722,144.6874438003610,2017/1/31,
00326.JPG,none,none,none,-37.8910231261944,144.6864634868050,2017/1/31,
00327.JPG,none,none,none,-37.8897525548333,144.6892050484440,2017/1/31,
00328.JPG,long,long,long,-37.8902061374722,144.6882274314160,2017/1/31,
00329.JPG,croc,croc,croc,-37.8932944991388,144.6815659583880,2017/1/31,
00330.JPG,none,none,none,-37.8937461102777,144.6805866063330,2017/1/31,
00331.JPG,none,none,none,-37.8959491418611,144.6757629651380,2017/1/31,
00332.JPG,none,none,none,-37.8964035137222,144.6747856328880,2017/1/31,
00333.JPG,none,none,none,-37.8825069906388,144.7047631590550,2017/1/31,
00334.JPG,none,none,croc,-37.8829416746666,144.7037706675270,2017/1/31,
00335.JPG,none,none,none,-37.9018563481388,144.6627760260000,2017/1/31,
00336.JPG,none,none,none,-37.9014297707500,144.6637783395550,2017/1/31,
00337.JPG,none,none,none,-37.8941138191666,144.6798069236380,2017/1/31,
00338.JPG,none,croc,croc,-37.8945661708055,144.6788215586110,2017/1/31,
00339.JPG,none,none,none,-37.8889359718055,144.6909664970000,2017/1/31,
00340.JPG,none,none,none,-37.8853820711111,144.6986076805270,2017/1/31,
00341.JPG,none,none,none,-37.8893900585000,144.6899878867220,2017/1/31,
00342.JPG,none,none,none,-37.8849036990833,144.6995717962500,2017/1/31,
00343.JPG,none,none,none,-37.8821313566388,144.7056672150830,2017/1/31,
00344.JPG,none,none,none,-37.9008583434166,144.6651887845000,2017/1/31,
00345.JPG,lat,croc,none,-37.9004437468333,144.6661954961940,2017/1/31,
00346.JPG,none,none,none,-37.8996983336388,144.6677481166660,2017/1/31,
00347.JPG,none,none,none,-37.9001623904166,144.6667768001380,2017/1/31,
00348.JPG,none,none,none,-37.8832102706388,144.7031809846380,2017/1/31,
00349.JPG,none,none,none,-37.8836561915555,144.7021971959440,2017/1/31,
00350.JPG,none,none,none,-37.8858911765277,144.6975356160830,2017/1/31,
00351.JPG,none,none,none,-37.8863453180833,144.6965535895270,2017/1/31,
00352.JPG,none,none,none,-37.8953362191944,144.6771511335550,2017/1/31,
00353.JPG,none,none,none,-37.8970647726388,144.6734335466110,2017/1/31,
00354.JPG,croc,none,none,-37.8948858212777,144.6781338608610,2017/1/31,
00355.JPG,none,none,none,-37.8975196821111,144.6724541181110,2017/1/31,
00356.JPG,none,none,none,-37.8990622227500,144.6691205122220,2017/1/31,
00357.JPG,none,none,none,-37.8986095113611,144.6701024474160,2017/1/31,
00358.JPG,none,none,none,-37.8894355069444,144.6898901147770,2017/1/31,
00359.JPG,none,none,none,-37.8847642610000,144.6998642519160,2017/1/31,
00360.JPG,none,none,none,-37.8898885667777,144.6889116791940,2017/1/31,
00361.JPG,none,none,none,-37.8842980995277,144.7008332617490,2017/1/31,
00362.JPG,none,none,none,-37.8875728066388,144.6939084356110,2017/1/31,
00363.JPG,none,none,none,-37.8871196209444,144.6948891834440,2017/1/31,
00364.JPG,none,none,none,-37.8919350263055,144.6845063293610,2017/1/31,
